Site,Metric,Year,Jan1-15,Jan16-31,Feb1-15,Feb16-28,Mar1-15,Mar16-31
Houston,NDVI,2001,0.521009,0.515661,0.50691,0.574045,0.610939,0.621132
Houston,NDVI,2002,0.53283,0.499772,0.507091,0.513224,0.475476,0.603641
Houston,NDVI,2003,0.543598,0.517354,0.523364,0.522564,0.575781,0.612365
Houston,NDVI,2004,0.537245,0.535206,0.524853,0.518554,0.546523,0.65535
Houston,NDVI,2005,0.531072,0.517023,0.519124,0.541891,0.558977,0.630898
Houston,NDVI,2006,0.513526,0.523215,0.520863,0.509057,0.590027,0.582904
Houston,NDVI,2007,0.532572,0.544695,0.515296,0.51785,0.538827,0.672485
Houston,NDVI,2008,0.521936,0.501496,0.525766,0.525299,0.553191,0.587469
Houston,NDVI,2009,0.537099,0.505901,0.48415,0.498606,0.542313,0.613512
Houston,NDVI,2010,0.519757,0.494969,0.49044,0.48625,0.526298,0.564023
Houston,NDVI,2011,0.526298,0.564023,0.502645,0.496087,0.5208,0.634001
Houston,NDVI,2012,0.519607,0.53188,0.555325,0.570517,0.578653,0.660756
Houston,NDVI,2013,0.529877,0.503326,0.519841,0.523656,0.52592,0.566383
Houston,NDVI,2014,0.52522,0.501974,0.497001,0.574454,0.51543,0.600601
Houston,NDVI,2015,0.554023,0.52933,0.520084,0.51896,0.523151,0.596331
Houston,JN-Adult,2001,0,0,3,1,2,2
Houston,JN-Adult,2002,0,0,0,2,7,12
Houston,JN-Adult,2003,0,0,0,0,4,8
Houston,JN-Adult,2004,0,0,1,0,2,6
Houston,JN-Adult,2005,0,0,0,2,4,6
Houston,JN-Adult,2006,0,0,0,1,9,3
Houston,JN-Adult,2007,0,0,0,0,5,3
Houston,JN-Adult,2008,0,0,0,1,4,9
Houston,JN-Adult,2009,0,0,3,4,3,5
Houston,JN-Adult,2010,0,0,0,0,1,23
Houston,JN-Adult,2011,0,0,0,0,13,9
Houston,JN-Adult,2012,0,0,2,7,6,5
Houston,JN-Adult,2013,0,0,0,0,3,6
Houston,JN-Adult,2014,0,0,0,1,1,17
Houston,JN-Adult,2015,0,0,0,0,1,14
Houston,JN-Egg,2001,0,0,0,0,0,2
Houston,JN-Egg,2002,0,0,0,0,1,0
Houston,JN-Egg,2003,0,0,0,0,0,2
Houston,JN-Egg,2004,0,0,1,0,1,1
Houston,JN-Egg,2005,0,0,0,0,0,1
Houston,JN-Egg,2006,0,0,0,0,3,5
Houston,JN-Egg,2007,0,0,0,0,2,4
Houston,JN-Egg,2008,0,0,0,1,1,1
Houston,JN-Egg,2009,0,0,0,3,1,2
Houston,JN-Egg,2010,0,0,0,0,0,6
Houston,JN-Egg,2011,0,0,0,0,1,8
Houston,JN-Egg,2012,0,0,1,1,8,7
Houston,JN-Egg,2013,0,0,0,0,2,4
Houston,JN-Egg,2014,0,0,0,1,0,8
Houston,JN-Egg,2015,0,0,0,1,0,5
Houston,JN-MW,2001,0,0,0,0,0,0
Houston,JN-MW,2002,0,0,0,0,1,2
Houston,JN-MW,2003,0,0,0,2,1,1
Houston,JN-MW,2004,0,0,1,0,2,1
Houston,JN-MW,2005,0,0,0,1,4,0
Houston,JN-MW,2006,0,0,0,0,3,0
Houston,JN-MW,2007,0,0,0,0,2,0
Houston,JN-MW,2008,0,0,1,2,1,1
Houston,JN-MW,2009,0,0,3,1,1,1
Houston,JN-MW,2010,0,0,3,1,3,2
Houston,JN-MW,2011,0,0,2,2,10,1
Houston,JN-MW,2012,0,0,4,2,2,0
Houston,JN-MW,2013,0,0,9,3,1,1
Houston,JN-MW,2014,0,0,1,1,5,1
Houston,JN-MW,2015,0,0,1,0,2,1
Austin,NDVI,2001,0.480159,0.505774,0.518663,0.559299,0.601021,0.594572
Austin,NDVI,2002,0.469395,0.462218,0.473357,0.459507,0.417751,0.502898
Austin,NDVI,2003,0.481595,0.463869,0.483777,0.517503,0.55206,0.574055
Austin,NDVI,2004,0.412955,0.437576,0.444528,0.445381,0.466277,0.588082
Austin,NDVI,2005,0.451928,0.445595,0.473558,0.518214,0.524033,0.574602
Austin,NDVI,2006,0.392439,0.392057,0.390449,0.382699,0.438824,0.438174
Austin,NDVI,2007,0.432863,0.435496,0.424722,0.44129,0.457626,0.609511
Austin,NDVI,2008,0.406929,0.403802,0.406148,0.422331,0.444466,0.525404
Austin,NDVI,2009,0.39583,0.382909,0.353325,0.366152,0.382122,0.444888
Austin,NDVI,2010,0.445745,0.44884,0.466124,0.472758,0.516798,0.54946
Austin,NDVI,2011,0.516798,0.54946,0.38674,0.412151,0.414612,0.497475
Austin,NDVI,2012,0.454317,0.464159,0.538376,0.561378,0.606262,0.646279
Austin,NDVI,2013,0.399947,0.420631,0.453179,0.440345,0.441162,0.4683
Austin,NDVI,2014,0.455116,0.441197,0.421865,0.473129,0.457115,0.489127
Austin,NDVI,2015,0.488498,0.459152,0.480277,0.475232,0.488626,0.562803
Austin,JN-Adult,2001,0,0,0,0,2,7
Austin,JN-Adult,2002,0,0,0,0,7,10
Austin,JN-Adult,2003,0,0,0,0,6,6
Austin,JN-Adult,2004,0,0,0,0,3,7
Austin,JN-Adult,2005,0,0,0,1,0,7
Austin,JN-Adult,2006,0,0,0,1,6,5
Austin,JN-Adult,2007,0,0,0,0,6,8
Austin,JN-Adult,2008,0,0,0,0,1,6
Austin,JN-Adult,2009,0,0,0,0,7,12
Austin,JN-Adult,2010,0,0,0,0,3,16
Austin,JN-Adult,2011,0,0,0,1,5,10
Austin,JN-Adult,2012,0,0,0,0,23,4
Austin,JN-Adult,2013,0,0,0,0,6,12
Austin,JN-Adult,2014,0,0,0,1,0,16
Austin,JN-Adult,2015,0,0,0,0,0,9
Austin,JN-Egg,2015,0,0,0,0,0,2
Austin,JN-Egg,2015,0,0,0,0,0,5
Austin,JN-Egg,2015,0,0,0,0,0,4
Austin,JN-Egg,2015,0,0,0,0,0,2
Austin,JN-Egg,2015,0,0,0,0,0,3
Austin,JN-Egg,2015,0,0,0,0,2,1
Austin,JN-Egg,2015,0,0,0,0,3,1
Austin,JN-Egg,2015,0,0,0,0,0,5
Austin,JN-Egg,2015,0,0,0,0,0,5
Austin,JN-Egg,2015,0,0,0,0,0,3
Austin,JN-Egg,2015,0,0,0,0,1,6
Austin,JN-Egg,2015,0,0,0,0,5,8
Austin,JN-Egg,2015,0,0,0,0,2,5
Austin,JN-Egg,2015,0,0,0,1,0,2
Austin,JN-Egg,2015,0,0,0,0,0,1
Austin,JN-MW,2015,0,0,0,0,0,0
Austin,JN-MW,2015,0,0,0,0,2,2
Austin,JN-MW,2015,0,0,0,1,3,4
Austin,JN-MW,2015,0,0,1,0,1,4
Austin,JN-MW,2015,0,0,1,0,3,1
Austin,JN-MW,2015,0,0,1,0,3,1
Austin,JN-MW,2015,0,0,0,0,4,1
Austin,JN-MW,2015,0,0,0,0,4,3
Austin,JN-MW,2015,0,0,0,0,4,1
Austin,JN-MW,2015,0,0,0,0,4,4
Austin,JN-MW,2015,0,0,0,2,8,4
Austin,JN-MW,2015,0,0,1,2,4,4
Austin,JN-MW,2015,0,0,3,2,4,5
Austin,JN-MW,2015,0,0,2,1,2,5
